title,author,publisher,ISBN,category,date,pages,price,discount_price
ΠΡΟΛΗΨΗ. Ταξική προσέγγιση της υγειονοµικής ανισότητας,ΤΜΗΜΑ ΥΓΕΙΑΣ-ΠΡΟΝΟΙΑΣ ΤΗΣ ΚΕ ΤΟΥ ΚΚΕ,ΣΥΓΧΡΟΝΗ ΕΠΟΧΗ,978-960-451-553-0,Πολιτική & Κοινωνία,Δεκέμβρης 2025,288,12.00€ , 10.80€
Τα παιδιά του κόσμου τραγουδούν την ειρήνη,ΛΑΔΗΣ Φ.,ΣΥΓΧΡΟΝΗ ΕΠΟΧΗ,978-960-451-552-3,Παιδική & Νεανική Βιβλιοθήκη,Δεκέμβρης 2025,40,16.00€ , 14.40€
Παραβατικές συμπεριφορές στη νεαρή ηλικία ή όψεις του εκμεταλλευτικού συστήματος;,ΔΙΑΤΜΗΜΑΤΙΚΗ ΟΜΑΔΑ ΕΡΓΑΣΙΑΣ ΤΟΥ ΚΚΕ ΓΙΑ ΤΗΝ ΠΑΡΑΒΑΤΙΚΟΤΗΤΑ ΤΩΝ ΑΝΗΛΙΚΩΝ,ΣΥΓΧΡΟΝΗ ΕΠΟΧΗ,978-960-451-550-9,Πολιτική & Κοινωνία,Νοέμβρης 2025,96,8.00€ , 7.20€
Για το Σοβιετικό Σύνταγµα από το 1918 έως το 1936,ΤΜΗΜΑ ΔΙΚΑΙΟΣΥΝΗΣ ΚΑΙ ΛΑΪΚΩΝ ΕΛΕΥΘΕΡΙΩΝ ΤΗΣ ΚΕ ΤΟΥ ΚΚΕ,ΣΥΓΧΡΟΝΗ ΕΠΟΧΗ,978-960-451-549-3,Πολιτική & Κοινωνία,Νοέμβρης 2025,360,12.00€ , 10.80€
Οι Ανυπάκουοι,ΣΤΑΘΗΣ,ΣΥΓΧΡΟΝΗ ΕΠΟΧΗ,978-960-451-548-6,Πολιτική & Κοινωνία,,128,17.00€ , 15.30€
Μικρές σημαίες,ΛΑΔΗΣ Φ.,ΣΥΓΧΡΟΝΗ ΕΠΟΧΗ,978-960-451-547-9,Ελληνική Λογοτεχνία,Οκτώβρης 2025,40,6.00€ , 5.40€
Αταίριαστο βαλς,ΤΖΟΚΑΣ ΣΠΥΡΟΣ,ΣΥΓΧΡΟΝΗ ΕΠΟΧΗ,978-960-451-546-2,Ελληνική Λογοτεχνία,Οκτώβρης 2025,352,16.00€ , 14.40€
ΑΛΚΟΟΛ. Από την κοινωνική χρήση έως την εξάρτηση. Όψεις του ζητήματος και οι θέσεις του ΚΚΕ,ΤΜΗΜΑ ΚΑΤΑ ΤΩΝ ΝΑΡΚΩΤΙΚΩΝ-ΕΞΑΡΤΗΣΕΩΝ ΤΗΣ ΚΕ ΤΟΥ ΚΚΕ,ΣΥΓΧΡΟΝΗ ΕΠΟΧΗ,978-960-451-545-5,Πολιτική & Κοινωνία,Οκτώβρης 2025,64,6.00€ , 5.40€
Διεθνής Κομμουνιστική Επιθεώρηση #14 Σεπτέμβρης 2025,ΣΥΓΧΡΟΝΗ ΕΠΟΧΗ,ΣΥΓΧΡΟΝΗ ΕΠΟΧΗ,2241-0201,Πολιτική & Κοινωνία,Σεπτέμβρης 2025,120,5.00€,
Αλήθειες και ψέματα για τον καπιταλισμό – 3. Για την εκμετάλλευση,ΙΔΕΟΛΟΓΙΚΗ ΕΠΙΤΡΟΠΗ ΤΟΥ ΚΣ ΤΗΣ ΚΝΕ,ΣΥΓΧΡΟΝΗ ΕΠΟΧΗ,978-960-451-544-8,Πολιτική & Κοινωνία,Σεπτέμβρης 2025,112,9.00€ , 8.10€
Το τετράδιό μου,ΛΑΔΗΣ Φ.,ΣΥΓΧΡΟΝΗ ΕΠΟΧΗ,978-960-451-543-1,Βιβλία,Σεπτέμβρης 2025,96,6.00€ , 5.40€
Υποδομές – Νερό.  Κοινωνικό αγαθό ή εμπόρευμα;,ΕΠΙΤΡΟΠΗ ΠΕΡΙΟΧΗΣ ΘΕΣΣΑΛΙΑΣ ΤΟΥ ΚΚΕ,ΣΥΓΧΡΟΝΗ ΕΠΟΧΗ,978-960-451-542-4,Πολιτική & Κοινωνία,Σεπτέμβρης 2025,152,10.00€ , 9.00€
22 ΚΕΙΜΕΝΑ ρήξης με την αστική ιδεολογία,ΡΟΥΣΗΣ Γ.,ΣΥΓΧΡΟΝΗ ΕΠΟΧΗ,978-960-451-541-7,Πολιτική & Κοινωνία,Αύγουστος 2025,168,17.00€ , 15.30€
Η ΠΟΛΙΤΙΚΗ ΔΡΑΣΤΗΡΙΟΤΗΤΑ ΤΩΝ ΛΟΓΟΤΕΧΝΩΝ ΤΗ ΔΕΚΑΕΤΙΑ 1930-1940,ΜΟΣΧΟΣ Β.,ΣΥΓΧΡΟΝΗ ΕΠΟΧΗ,978-960-451-540-0,Πολιτική & Κοινωνία,Αύγουστος 2025,768,22.00€ , 19.80€
Επιχείρηση Τζόυ,Τσαβαρία Ντανιέλ,ΣΥΓΧΡΟΝΗ ΕΠΟΧΗ,978-960-451-539-4,Ξένη Λογοτεχνία,Ιούλης 2025,416,16.00€ , 14.40€
Ημερολόγια 1941-1948,ΚΟΤΖΙΟΥΛΑΣ Γ.,ΣΥΓΧΡΟΝΗ ΕΠΟΧΗ,978-960-451-538-7,Πολιτική & Κοινωνία,Ιούλης 2025,384,17.00€ , 15.30€
Πουλιά στη θύελλα,ΜΠΑΡΜΠΟΥΤΗΣ Κ.,ΣΥΓΧΡΟΝΗ ΕΠΟΧΗ,978-960-451-537-0,Ελληνική Λογοτεχνία,Ιούλης 2025,536,17.00€ , 15.30€
Ο ακροβάτης σκίουρος,ΔΟΥΝΙΑΣ ΣΤΡ.,ΣΥΓΧΡΟΝΗ ΕΠΟΧΗ,978-960-451-536-3,Παιδική & Νεανική Βιβλιοθήκη,Ιούλης 2025,48,16.00€ , 14.40€
Η λογοτεχνία στα χρόνια της θύελλας (1940-1950) / ΕΠΙΣΤΗΜΟΝΙΚΟ ΣΥΝΕΔΡΙΟ,ΤΜΗΜΑ ΠΟΛΙΤΙΣΜΟΥ ΤΗΣ ΚΕ ΤΟΥ ΚΚΕ,ΣΥΓΧΡΟΝΗ ΕΠΟΧΗ,978-960-451-533-2,Πολιτική & Κοινωνία,Ιούνη 2025,456,20.00€ , 18.00€
Όπως το κέλυφος ενός απέραντου ναυτίλου,ΖΑΦΕΙΡΙΟΥ ΕΛ.,ΣΥΓΧΡΟΝΗ ΕΠΟΧΗ,978-960-451-535-6,Ελληνική Λογοτεχνία,Ιούνης 2025,224,14.00€ , 12.60€
Ντμίτρι Σοστακόβιτς. Για τον ίδιο και την εποχή του,ΣΟΣΤΑΚΟΒΙΤΣ ΝΤ.,ΣΥΓΧΡΟΝΗ ΕΠΟΧΗ,978-960-224-553-8,Πολιτική & Κοινωνία,Ιούνης 2025(2η έκδοση),456,18.00€ , 14.00€
Σεξουαλικότητα και επανάσταση,ΧΟΛΙΤΣΕΡ Β.,ΣΥΓΧΡΟΝΗ ΕΠΟΧΗ,978-960-451-534-9,Πολιτική & Κοινωνία,Ιούνης 2025,192,10.00€ , 9.00€
Η ΟΠΤΙΚΗ ΤΩΝ ΠΑΡΑΝΟΜΩΝ. ΚΚΕ και παρανομία στις δεκαετίες 1940 και 1950. Θεσσαλονίκη και περιφέρεια. Τόμος Α΄& Β΄,ΣΑΝΙΔΑΣ Γ.,ΣΥΓΧΡΟΝΗ ΕΠΟΧΗ,978-960-451-530-1,Πολιτική & Κοινωνία,Μάης 2025,Τόμ. Α΄: 616$ Τόμ. Β΄: 544,40.00€ , 36.00€
Για το σοσιαλιστικό κράτος. Η Ιστορία που διδάσκει$ η Ιστορία που μένει να γραφτεί,ΚΕΝΤΡΙΚΗ ΕΠΙΤΡΟΠΗ ΤΟΥ ΚΚΕ,ΣΥΓΧΡΟΝΗ ΕΠΟΧΗ,978-960-451-529-5,Πολιτική & Κοινωνία,Μάης 2025,144,10.00€ , 9.00€
Επιστημονική Διημερίδα. Η μάχη της ιστορίας: Ταξική χειραφέτηση ή αστική οπισθοδρόμηση;,ΤΜΗΜΑ ΙΣΤΟΡΙΑΣ ΤΗΣ ΚΕ ΤΟΥ ΚΚΕ,ΣΥΓΧΡΟΝΗ ΕΠΟΧΗ,978-960-451-527-1,Πολιτική & Κοινωνία,Μάης 2025,184,11.00€ , 9.90€
Αφιέρωμα Μίκης Θεοδωράκης (1925-2021) // ebook (pdf),ΔΙΑΤΜΗΜΑΤΙΚΗ ΕΠΙΤΡΟΠΗ ΤΗΣ ΚΕ ΤΟΥ ΚΚΕ ΓΙΑ ΤΙΣ ΜΙΚΡΟΤΕΡΕΣ ΗΛΙΚΙΕΣ ΤΗΣ ΝΕΟΛΑΙΑΣ,ΣΥΓΧΡΟΝΗ ΕΠΟΧΗ,978-960-451-528-8,Παιδική & Νεανική Βιβλιοθήκη,Απρίλης 2025,36,0.00€,
Τσαπάγιεφ,ΦΟΥΡΜΑΝΟΦ Ν.,ΣΥΓΧΡΟΝΗ ΕΠΟΧΗ,978-960-451-526-4,Ξένη Λογοτεχνία,Απρίλης 2025,384,15.00€ , 13.50€
30 μικρά διηγήματα,ΓΕΡΑΣΙΜΙΔΟΥ Ε.,ΣΥΓΧΡΟΝΗ ΕΠΟΧΗ,978-960-451-525-7,Ελληνική Λογοτεχνία,Απρίλης 2025,64,9.00€ , 8.10€
Η αποστολή της νιφάδας στη χώρα της Γελουσίας,ΛΟΥΝΤΖΗ Μ.,ΣΥΓΧΡΟΝΗ ΕΠΟΧΗ,978-960-451-524-0,Παιδική & Νεανική Βιβλιοθήκη,Μάρτης 2025,104,16.00€ , 14.40€
Ο Β’ Παγκόσμιος Πόλεμος και η Αντιφασιστική Νίκη των Λαών. Ποιος; Πού; Πότε; Γιατί;,ΔΙΑΤΜΗΜΑΤΙΚΗ ΕΠΙΤΡΟΠΗ ΤΗΣ ΚΕ ΤΟΥ ΚΚΕ ΓΙΑ ΤΙΣ ΜΙΚΡΟΤΕΡΕΣ ΗΛΙΚΙΕΣ ΤΗΣ ΝΕΟΛΑΙΑΣ,ΣΥΓΧΡΟΝΗ ΕΠΟΧΗ,978-960-451-523-3,Παιδική & Νεανική Βιβλιοθήκη,Μάρτης 2025,136,11.00€ , 9.90€
Ένας στρατηγός βγαίνει από τη ζούγκλα,ΤΡΑΒΕΝ Μ.,ΣΥΓΧΡΟΝΗ ΕΠΟΧΗ,978-960-451-521-9,Ξένη Λογοτεχνία,Μάρτης 2025,392,17.00€ , 15.30€
«Γιατρέ μου$ είμαι… πτώμα!» και άλλα διηγήματα,ΤΣΙΝΤΑΒΗΣ Δ. ΙΩΑΝΝΗΣ,ΣΥΓΧΡΟΝΗ ΕΠΟΧΗ,978-960-451-522-6,Ελληνική Λογοτεχνία,Μάρτης 2025,224,12.00€ , 10.80€
Οδηγός. Μάθε$ πάλεψε για τα δικαιώματά σου,ΤΜΗΜΑ ΔΙΚΑΙΟΣΥΝΗΣ ΚΑΙ ΛΑΪΚΩΝ ΕΛΕΥΘΕΡΙΩΝ ΤΗΣ ΚΕ ΤΟΥ ΚΚΕ,ΣΥΓΧΡΟΝΗ ΕΠΟΧΗ,978-960-451-520-2,Πολιτική & Κοινωνία,Φλεβάρης 2025,64,4.50€ , 4.05€
Πράξεις Πολέμου,ΓΚΟΥΤΙΕΡΕΣ Ε.,ΣΥΓΧΡΟΝΗ ΕΠΟΧΗ,978-960-451-519-6,Ξένη Λογοτεχνία,Φλεβάρης 2025,336,15.00€ , 13.50€
Το ένδοξο σκοτάδι του Βοτανικού. Μυθιστόρημα της πραγματικότητας,ΔΙΓΕΝΗ Σ.,ΣΥΓΧΡΟΝΗ ΕΠΟΧΗ,978-960-451-518-9,Ελληνική Λογοτεχνία,Φλεβάρης 2025,232,16.00€ , 14.40€
Αθηνούλα$ πού πάνε τον πατέρα σου οι χωροφύλακες;,ΚΟΤΤΗ-ΛΑΤΣΗ ΑΘ.,ΣΥΓΧΡΟΝΗ ΕΠΟΧΗ,978-960-451-517-2,Πολιτική & Κοινωνία,Γενάρης 2025,344,15.00€ , 13.50€
Ο Πολιτικός Επίτροπος στο Δημοκρατικό Στρατό Ελλάδας (ΔΣΕ),ΤΟΛΙΑ Φ.,ΣΥΓΧΡΟΝΗ ΕΠΟΧΗ,978-960-451-511-0,Πολιτική & Κοινωνία,Γενάρης 2025,704,28.00€ , 25.20€
Μνημεία και μουσεία αγώνων του λαού,ΚΕΝΤΡΙΚΗ ΕΠΙΤΡΟΠΗ ΤΟΥ ΚΚΕ,ΣΥΓΧΡΟΝΗ ΕΠΟΧΗ,978-960-451-516-5,Πολιτική & Κοινωνία,Γενάρης 2025,112,10.00€ , 9.00€
Γελοιογραφικές αναδιαρθρώσεις. Μέσα από τις σελίδες του Ριζοσπάστη,ΒΑΗΣ Ι.,ΣΥΓΧΡΟΝΗ ΕΠΟΧΗ,978-960-451-514-1,Κόμιξ - Γελοιογραφίες,Δεκέμβρης 2024,144,15.00€ , 13.50€
Όταν σε σκέφτομαι$ ο κόσμος τρίζει,ΡΟΥΦΑΣ Π.,ΣΥΓΧΡΟΝΗ ΕΠΟΧΗ,978-960-451-513-4,Ελληνική Λογοτεχνία,Δεκέμβρης 2024,48,7.00€ , 6.30€
ΣΤΑΦΙΔΑ. Ο λεγόµενος και «Μαύρος Χρυσός» του Μωριά. Μία ιστορία ταξικών αγώνων και συγκρούσεων,ΚΟΜΜΑΤΙΚΗ ΟΡΓΑΝΩΣΗ ∆ΥΤΙΚΗΣ ΕΛΛΑ∆ΑΣ - ΖΑΚΥΝΘΟΥ-ΚΕΦΑΛΟΝΙΑΣ-ΙΘΑΚΗΣ,ΣΥΓΧΡΟΝΗ ΕΠΟΧΗ,978-960-451-512-7,Πολιτική & Κοινωνία,Δεκέμβρης 2024,208,11.00€ , 9.90€
NTOKOYMENTA Συμμαχικών Διασκέψεων του Β΄ Παγκόσμιου Πολέμου. ΓΙΑΛΤΑ-ΜΟΣΧΑ-ΤΕΧΕΡΑΝΗ-ΠΟΤΣΝΤΑΜ,ΣΥΓΧΡΟΝΗ ΕΠΟΧΗ,ΣΥΓΧΡΟΝΗ ΕΠΟΧΗ,978-960-451-510-3,Πολιτική & Κοινωνία,Νοέμβρης 2024,576,24.00€ , 21.60€
Στ’ αριστερά της σκάλας,ΧΑΛΑΣΙ Μ.,ΣΥΓΧΡΟΝΗ ΕΠΟΧΗ,978-960-451-509-7,Παιδική & Νεανική Βιβλιοθήκη,Νοέμβρης 2024,320,13.00€ , 11.70€
Το Μάτι της Λέξης,ΓΟΥΛΙΑΜΟΣ Κ.,ΣΥΓΧΡΟΝΗ ΕΠΟΧΗ,978-960-451-508-0,Ελληνική Λογοτεχνία,Νοέμβρης 2024,80,10.00€ , 9.00€
Προς την Κεντρική Επιτροπή του ΚΚΣΕ (1965),ΜΟΛΟΤΟΦ Β. Μ.,ΣΥΓΧΡΟΝΗ ΕΠΟΧΗ,978-960-451-507-3,Πολιτική & Κοινωνία,Οκτώβρης 2024,304,15.00€ , 13.50€
Η Κόκκινη Φρουρά τις μέρες του Οκτώβρη (Λένινγκραντ και Μόσχα),ΠΟΝΤΒΟΪΣΚΙ Ν. Ι.,ΣΥΓΧΡΟΝΗ ΕΠΟΧΗ,978-960-451-506-6,Πολιτική & Κοινωνία,Οκτώβρης 2024,112,10.00€ , 9.00€
Σπυριδούλες,ΜΑΪΣΤΡΑΛΗ Ν.,ΣΥΓΧΡΟΝΗ ΕΠΟΧΗ,978-960-451-505-9,Ελληνική Λογοτεχνία,Οκτώβρης 2024,80,8.00€ , 7.20€
Ριζοσπάστης. 50 χρόνια νόμιμης επανέκδοσης. Κρατάμε σφιχτά το νήμα και προχωράμε!,ΣΥΓΧΡΟΝΗ ΕΠΟΧΗ,ΣΥΓΧΡΟΝΗ ΕΠΟΧΗ,978-960-451-504-2,Πολιτική & Κοινωνία,Σεπτέμβρης 2024,80,4.00€ , 3.60€
Ντα ζβιντάνιγια – Дo свидания. Σελίδες μέσα στο χρόνο. Κείµενα για την Σοβιετική Ένωση 1980-1986,ΛΑΔΗΣ Φ.,ΣΥΓΧΡΟΝΗ ΕΠΟΧΗ,978-960-451-503-5,Πολιτική & Κοινωνία,Σεπτέμβρης 2024,184,11.00€ , 9.90€
Το Παλαιστινιακό Ζήτημα. Ιστορική αναδροµή στις ρίζες και την εξέλιξή του,ΓΚΙΚΑΣ Α.,ΣΥΓΧΡΟΝΗ ΕΠΟΧΗ,978-960-451-502-8,Πολιτική & Κοινωνία,Σεπτέμβρης 2024,328,15.00€ , 13.50€
Τεχνητή Νοημοσύνη: Η νέα εποχή στην τεχνολογία απαιτεί μια νέα εποχή στην κοινωνία. Σοσιαλισμός$ η απάντηση τον 21ο αιώνα,ΚΕΝΤΡΙΚΟ ΣΥΜΒΟΥΛΙΟ ΤΗΣ ΚΝΕ,ΣΥΓΧΡΟΝΗ ΕΠΟΧΗ,978-960-451-501-1,Πολιτική & Κοινωνία,Σεπτέμβρης 2024,160,9.00€ , 8.10€
Διεθνής Κομμουνιστική Επιθεώρηση #13 Σεπτέμβρης 2024,ΣΥΓΧΡΟΝΗ ΕΠΟΧΗ,ΣΥΓΧΡΟΝΗ ΕΠΟΧΗ,2241-0201,Πολιτική & Κοινωνία,Σεπτέμβρης 2024,144,5.00€,
O κόσμος του παιδιού. Bιβλίο πρώτο. Προσχολική ηλικία,ΟΜΑΔΑ ΣΟΒΙΕΤΙΚΩΝ ΠΑΙΔΑΓΩΓΩΝ,ΣΥΓΧΡΟΝΗ ΕΠΟΧΗ,978-960-451-500-4,Πολιτική & Κοινωνία,1989,432,25.00€ , 18.75€
Θεατρικά & Διηγήματα. Πρόσκληση λογοτεχνικού έργου για τα 50 χρόνια της Σύγχρονης Εποχής,ΣΥΛΛΟΓΙΚΟ,ΣΥΓΧΡΟΝΗ ΕΠΟΧΗ,978-960-451-498-4,Ελληνική Λογοτεχνία,Αύγουστος 2024,136,11.00€ , 9.90€
Ο μύθος του «Κράτους Δικαίου» της ΕΕ και ο δρόμος για την ανατροπή της αδικίας και της εκμετάλλευσης,ΤΜΗΜΑ ΔΙΚΑΙΟΣΥΝΗΣ ΚΑΙ ΛΑΪΚΩΝ ΕΛΕΥΘΕΡΙΩΝ ΤΗΣ ΚΕ ΤΟΥ ΚΚΕ,ΣΥΓΧΡΟΝΗ ΕΠΟΧΗ,978-960-451-499-1,Πολιτική & Κοινωνία,Αύγουστος 2024,112,8.00€ , 7.20€
ΟΙ ΑΘΛΙΟΙ (τόμ. Α΄ & Β΄),ΟΥΓΚΟ Β.,ΣΥΓΧΡΟΝΗ ΕΠΟΧΗ,978-960-451-494-6,Ξένη Λογοτεχνία,Ιούλης 2024,τόμ. Α΄: 888$ τόμ. Β΄: 864,45.00€ , 36.00€
Από το παράνομο τυπογραφείο της «Πανσπουδαστικής»$ στην Ασφάλεια της Μεσογείων,ΣΩΤΗΡΗ Α.,ΣΥΓΧΡΟΝΗ ΕΠΟΧΗ,978-960-451-497-7,Πολιτική & Κοινωνία,Ιούλης 2024,80,5.00€ , 4.00€
Προσκυνώ τη Χάρη σου$ Λαέ µου,ΣΤΑΥΡΑΚΑΚΗΣ Μ.,ΣΥΓΧΡΟΝΗ ΕΠΟΧΗ,978-960-451-493-9,Ελληνική Λογοτεχνία,Ιούλης 2024,152,11.00€ , 8.80€
Από τον Εργατικό Αστέρα έως την Πανεργατική. Το κίνημα του εργατικού αθλητισμού και άλλες ιστορίες αθλητικής αντίστασης,ΜΠΡΑΤΣΟΣ Ν.,ΣΥΓΧΡΟΝΗ ΕΠΟΧΗ,978-960-451-492-2,Πολιτική & Κοινωνία,Ιούνης 2024,256,15.00€ , 12.00€
Ο παράνομος,ΚΟΤΖΙΑΣ Κ.,ΣΥΓΧΡΟΝΗ ΕΠΟΧΗ,978-960-451-491-5,Ελληνική Λογοτεχνία,Ιούνης 2024,400,16.00€ , 12.80€
Δημήτρης Γληνός. Το ΚΚΕ τιμά τον κομμουνιστή διανοούμενο,ΤΜΗΜΑ ΠΑΙΔΕΙΑΣ & ΕΡΕΥΝΑΣ ΤΗΣ ΚΕ ΤΟΥ ΚΚΕ,ΣΥΓΧΡΟΝΗ ΕΠΟΧΗ,978-960-451-489-2,Πολιτική & Κοινωνία,Μάης 2024,200,10.00€ , 8.00€
Έκρηξη στην Ταγιαπιέδρα,ΠΕΡΕΣ Α. Κ.,ΣΥΓΧΡΟΝΗ ΕΠΟΧΗ,978-960-451-490-8,Ξένη Λογοτεχνία,Μάης 2024,112,9.00€ , 7.20€
Ένα μεγάλο βράδυ,ΤΖΟΚΑΣ ΣΠΥΡΟΣ,ΣΥΓΧΡΟΝΗ ΕΠΟΧΗ,978-960-451-487-8,Ελληνική Λογοτεχνία,Απρίλης 2024,368,16.00€ , 12.80€
Πραξικόπημα στη Βαλπωνία. Θεατρικό έργο σε μία πράξη και έξι εικόνες,ΛΑΔΗΣ Φ.,ΣΥΓΧΡΟΝΗ ΕΠΟΧΗ,978-960-451-488-5,Ελληνική Λογοτεχνία,Απρίλης 2024,88,7.00€ , 5.60€
H Δημόσια Υγεία στην ΕΣΣΔ,ΣΕΣΤΕΡΝΙΑ Ν.,ΣΥΓΧΡΟΝΗ ΕΠΟΧΗ,978-960-451-486-1,Πολιτική & Κοινωνία,Απρίλης 2024,128,9.00€ , 7.20€
Σηματωροί προστάζουν μέτρο στους καιρούς,ΔΗΜΟΥ Δ.,ΣΥΓΧΡΟΝΗ ΕΠΟΧΗ,978-960-451-485-4,Πολιτική & Κοινωνία,Μάρτης 2024,60,7.00€ , 5.60€
Αντιγόνη στη Χάγη. Η κατάθεση της Λιάνας Κανέλλη στη Δίκη του Σλόμπονταν Μιλόσεβιτς,ΣΥΓΧΡΟΝΗ ΕΠΟΧΗ,ΣΥΓΧΡΟΝΗ ΕΠΟΧΗ,978-960-451-484-7,Πολιτική & Κοινωνία,Μάρτης 2024,80,8.00€ , 6.40€
Μάρτιν Ίντεν,ΛΟΝΤΟΝ ΤΖ.,ΣΥΓΧΡΟΝΗ ΕΠΟΧΗ,978-960-451-483-0,Ξένη Λογοτεχνία,Μάρτης 2024,512,17.00€ , 13.60€
Ημερίδα για την Παγκόσμια Ημέρα για την Eξάλειψη της Bίας κατά των Γυναικών,ΣΥΛΛΟΓΙΚΟ,ΣΥΓΧΡΟΝΗ ΕΠΟΧΗ,978-960-451-482-3,Πολιτική & Κοινωνία,Φλεβάρης 2024,192,8.00€ , 6.40€
Ποιήματα. Πρόσκληση λογοτεχνικού έργου για τα 50 χρόνια της Σύγχρονης Εποχής,ΣΥΛΛΟΓΙΚΟ,ΣΥΓΧΡΟΝΗ ΕΠΟΧΗ,978-960-451-481-6,Ελληνική Λογοτεχνία,Φλεβάρης 2024,72,9.00€ , 7.20€
Η εξέγερση των κρεμασμένων,ΤΡΑΒΕΝ Μ.,ΣΥΓΧΡΟΝΗ ΕΠΟΧΗ,978-960-451-478-6,Ξένη Λογοτεχνία,Φλεβάρης 2024,424,17.00€ , 13.60€
Λένιν. Ο άνθρωπος και το έργο του,ΟΥΪΛΙΑΜΣ ΑΛ. Ρ.,ΣΥΓΧΡΟΝΗ ΕΠΟΧΗ,978-960-451-479-3,Πολιτική & Κοινωνία,Γενάρης 2024,216,15.00€ , 12.00€
Το μουσείο που άνοιξε επειδή έκλεισε,ΔΕΛΗΚΑΡΗ ΑΝ.,ΣΥΓΧΡΟΝΗ ΕΠΟΧΗ,978-960-451-480-9,Παιδική & Νεανική Βιβλιοθήκη,Γενάρης 2024,36,10.00€ , 8.00€
Στη γειτονιά του ουρανού. Αναφορά στα ουράνια σώματα,ΜΑΑΪΤΑ ΤΖΑΜΑΛ-ΟΔΥΣΣΕΑΣ,ΣΥΓΧΡΟΝΗ ΕΠΟΧΗ,978-960-451-477-9,Βιβλία γνώσεων,Δεκέμβρης 2023,144,14.00€ , 11.20€
Αποδελτίωση ΙΙΙ,ΔΙΓΕΝΗ Σ.,ΣΥΓΧΡΟΝΗ ΕΠΟΧΗ,978-960-451-476-2,Πολιτική & Κοινωνία,Δεκέμβρης 2023,456,18.00€ , 14.40€
